Wavelength,musp,muaoxy,muadeoxy,muawater,muafat,muamel
373,109.49074944029867,499.9608367267025,758.4608199341318,0.0012628,0.0001,1801.9876250084524
374,108.50161065393567,509.4603389475663,761.4381160078636,0.0012164,0.0001,1785.9931084945326
375,107.52513580246912,519.623842451061,764.4261217797025,0.00117,0.0001,1770.1827020042651
376,106.5611261140841,529.7873459545557,767.4141275515412,0.0011464000000000001,0.0001,1754.5538037641888
377,105.60938647308924,541.8250466267664,770.3914236252731,0.0011228,0.0001,1739.1038555507776
378,104.66972534305623,553.8627472989771,773.3687196990048,0.0010992,0.0001,1723.8303418485425
379,103.74195469177418,570.2807144969299,775.5320787166086,0.0010756000000000001,0.0001,1708.730789026584
380,102.82588991797178,586.6986816948829,777.6954377342123,0.001052,0.0001,1693.8027645331397
381,101.92134977976102,606.5223328908456,777.6954377342123,0.0010284,0.0001,1679.0438761076848
382,101.02815632475736,626.3459840868084,777.6954377342123,0.0010048,0.0001,1664.4517710101659
383,100.14613482183319,648.9755761867916,786.8950684080816,0.0009812,0.0001,1650.0241352669448
384,99.27511369446178,671.605168286775,796.0946990819508,0.0009576000000000001,0.0001,1635.7586929330487
385,98.4149244556111,697.6083152904473,810.124403602054,0.000934,0.0001,1621.6532053703386
386,97.56540164414724,723.6114622941196,824.1541081221573,0.0009104,0.0001,1607.705470541204
387,96.72638276270865,758.3323035568484,839.2440727548485,0.0008868000000000001,0.0001,1593.9133223174167
388,95.89770821701353,793.0531448195771,854.3340373875398,0.0008632,0.0001,1580.2746298037775
389,95.07922125656368,845.6591819209109,876.3853057897478,0.0008396,0.0001,1566.7872966762031
390,94.27076791670935,898.2652190222447,898.4365741919559,0.0008160000000000001,0.0001,1553.4492605339087
391,93.47219696204,957.1471392142505,931.1654116067921,0.0007924,0.0001,1540.2584922653507
392,92.68335983106788,1016.0290594062565,963.8942490216284,0.0007688,0.0001,1527.2129954276018
393,91.90411058217123,1075.7891748430322,994.7810183620695,0.0007452,0.0001,1514.3108056388446
394,91.1343058407655,1135.549290279808,1025.6677877025106,0.0007216,0.0001,1501.5499899836684
395,90.37380474767176,1187.8982946265749,1054.005648893498,0.000698,0.0001,1488.9286464308707
396,89.62246890865181,1240.2472989733417,1082.343510084485,0.0006744,0.0001,1476.4449032634727
397,88.88016234508126,1285.2066116263138,1110.692080973579,0.0006508,0.0001,1464.0969185206532
398,88.14675144573175,1330.165924279286,1139.0406518626733,0.0006272,0.0001,1451.8828794513354
399,87.42210491963473,1377.8990487419578,1167.3785130536603,0.0006036,0.0001,1439.8010019791423
400,86.70609374999998,1425.63217320463,1195.7163742446476,0.00058,0.0001,1427.8495301784646
401,85.99859114916275,1473.804395289687,1230.2337312433442,0.000572,0.0001,1416.0267357613814
402,85.29947251453372,1521.9766173747437,1264.751088242041,0.000564,0.0001,1404.3309175751783
403,84.60861538552739,1587.5520988835926,1310.7492416113873,0.000556,0.0001,1392.760401110225
404,83.92589940144472,1653.1275803924416,1356.7473949807338,0.000548,0.0001,1381.3135380179706
405,83.25120626028632,1774.928976962773,1402.7455483500798,0.00054,0.0001,1369.9887056388218
406,82.58441967847371,1896.7303735331047,1448.7437017194259,0.000532,0.0001,1358.7843065396808
407,81.92542535145623,2079.0951128982333,1493.7458531648258,0.000524,0.0001,1347.6987680609243
408,81.27411091518199,2261.4598522633614,1538.7480046102257,0.000516,0.0001,1336.7305418725975
409,80.63036590841227,2380.6587921937044,1583.1932517540642,0.000508,0.0001,1325.8781035396328
410,79.99408173585807,2499.8577321240473,1627.6384988979028,0.0005,0.0001,1315.1399520958648
411,79.36515163211968,2589.1766143360023,1674.1935565688104,0.000492,0.0001,1304.514609626664
412,78.74347062640942,2678.4954965479574,1720.7486142397179,0.000484,0.0001,1294.0006208599787
413,78.12893550803896,2742.967879151791,1777.649240281938,0.000476,0.0001,1283.596552765605
414,77.52144479265262,2807.4402617556243,1834.5498663241585,0.000468,0.0001,1273.3009941624982
415,76.92089868918879,2801.0144428914546,1891.450492366379,0.00046,0.0001,1263.1125553339405
416,76.32719906755224,2794.5886240272853,1948.3511184085992,0.00045200000000000004,0.0001,1253.0298676503967
417,75.7402494269802,2777.560204037236,2006.8046506763271,0.000444,0.0001,1243.0515831998812
